ID,Alpha,Beta,Gamma
1626,0,0,60916692
2208,1108000,12,26099749
4840,529000,6,59075551
1793,75000,2,52176312
2727,365000,0,27829333
2244,97000,0,44559942
1690,0,0,61642933
4805,0,0,43492888
1010,930000,4,44435585
2137,0,0,14808350
1228,0,0,50247731
2050,136000,0,54470228
2095,244000,1,48543500
2557,186000,1,45378267
1257,0,0,57566443
1268,513000,3,32490525
1917,567000,2,28182474
1357,0,0,58444869
2584,21000,0,48020168
2001,1170000,5,61964337
1009,269000,1,57004592
1237,302000,2,45041193
2083,233000,0,41701440
1749,164000,0,41954601
1030,162000,0,21303308
1935,0,0,38280151
2852,30000,0,43691372
1189,155000,1,40769970
1352,0,0,43730166
2509,395000,0,53766939
1133,0,0,14349666
4892,0,0,65839209
1207,160000,0,59459430
1909,0,0,55863117
1794,113000,0,53343958
2693,0,0,58853085
1938,115000,0,38286047
1864,108000,0,50710942
2951,683000,4,33441717
2906,339000,1,42977045
1116,836000,8,62852627
1544,74000,0,25408469
2097,240000,0,46719280
1208,105000,0,58551233
1537,0,0,56708288
2565,0,0,61576670
4810,0,0,60570518
2103,60000,0,38095419
1892,0,0,58618141
0,0,0,0
1724,871000,3,44210372
1782,355000,1,28310051
1215,56000,0,61510009
1015,2225000,13,33840819
1426,0,0,13708272
1462,0,0,39016736
4840,84000,0,62944717
4864,253000,1,21463140
2035,130000,1,37177942
1061,32000,0,41191691
4566,0,0,46255161
1916,413000,0,44650550
1010,136000,0,58424798
2210,1113000,3,45390485
1780,0,0,50648888
2802,823000,2,37064462
1346,0,0,47603151
1256,312000,1,64411633
2549,403000,6,64198245
1154,144000,0,21922949
2655,36000,0,54988270
1565,335200,1,59199973
4794,334000,0,48157654
4681,234000,0,36509923
1264,38000,0,48535686
1189,219000,1,53223403
2721,194000,1,44626656
5854,0,0,13529750
4254,497000,1,57896215
2199,135000,0,29842612
3041,91000,0,61465707
1870,951000,3,61836410
2881,1060000,8,47224157
2254,75000,1,49560764
1670,0,0,56291110
1553,0,0,46602040
4651,0,0,51933386
